1 10 100 0
130,8 165,76 203,84 0
131,35 166,42 204,28 0
131,9 167,08 204,72 0
132,45 167,74 205,16 0
133 168,4 205,6 0
133,55 169,06 206,04 0
134,1 169,72 206,48 0
134,65 170,38 206,92 0
135,2 171,04 207,36 0
135,75 171,7 207,8 0
136,3 172,36 208,24 0
136,85 173,02 208,68 0
137,4 173,68 209,12 0
137,95 174,34 209,56 0
150 185 220 1
150,5 185,3 220,44 1
151 185,6 220,88 1
151,5 185,9 221,32 1
152 186,2 221,76 1
152,5 186,5 222,2 1
153 186,8 222,64 1
153,5 187,1 223,08 1
154 187,4 223,52 1
154,5 187,7 223,96 1
155 188 224,4 1
155,5 188,3 224,84 1
156 188,6 225,28 1
156,5 188,9 225,72 1
157 189,2 226,16 1
157,5 189,5 226,6 1
158 189,8 227,04 1
158,5 190,1 227,48 1
159 190,4 227,92 1
159,5 190,7 228,36 1
160 191 228,8 1
160,5 191,3 229,24 1
161 191,6 229,68 1
161,5 191,9 230,12 1
162 192,2 230,56 1
162,5 192,5 231 1
163 192,8 231,44 1
163,5 193,1 231,88 1
164 193,4 232,32 1
164,5 193,7 232,76 1
165 194 233,2 1
165,5 194,3 233,64 1
166 194,6 234,08 1
166,5 194,9 234,52 1
167 195,2 234,96 1
167,5 195,5 235,4 1
168 195,8 235,84 1
168,5 196,1 236,28 1
169 196,4 236,72 1
169,5 196,7 237,16 1
170 197 237,6 1
170,5 197,3 238,04 1
171 197,6 238,48 1
171,5 197,9 238,92 1
172 198,2 239,36 1
172,5 198,5 239,8 1
173 198,8 240,24 1
173,5 199,1 240,68 1
174 199,4 241,12 1
174,5 199,7 241,56 1
175 200 242 1
175,5 200,3 242,44 1
176 200,6 242,88 1
176,5 200,9 243,32 1
177 201,2 243,76 1
177,5 201,5 244,2 1
178 201,8 244,64 1
178,5 202,1 245,08 1
179 202,4 245,52 1
179,5 202,7 245,96 1
180 203 246,4 1
180,5 203,3 246,84 1
181 203,6 247,28 1
181,5 203,9 247,72 1
182 204,2 248,16 1
182,5 204,5 248,6 1
183 204,8 249,04 1
183,5 205,1 249,48 1
184 205,4 249,92 1
184,5 205,7 250,36 1
185 206 250,8 1
185,5 206,3 251,24 1
186 206,6 251,68 1
186,5 206,9 252,12 1
187 207,2 252,56 1
187,5 207,5 253 1
188 207,8 253,44 1
188,5 208,1 253,88 1
189 208,4 254,32 1
189,5 208,7 254,76 1
190 209 255,2 1
190,5 209,3 255,64 1
191 209,6 256,08 1
191,5 209,9 256,52 1
192 210,2 256,96 1
192,5 210,5 257,4 1
193 210,8 257,84 1
193,5 211,1 258,28 1
194 211,4 258,72 1
194,5 211,7 259,16 1
195 212 259,6 1
195,5 212,3 260,04 1
196 212,6 260,48 1
196,5 212,9 260,92 1
197 213,2 261,36 1
197,5 213,5 261,8 1
198 213,8 262,24 1
198,5 214,1 262,68 1
199 214,4 263,12 1
199,5 214,7 263,56 1
200 215 264 1
200,5 215,3 264,44 1
201 215,6 264,88 1
201,5 215,9 265,32 1
202 216,2 265,76 1
202,5 216,5 266,2 1
203 216,8 266,64 1
203,5 217,1 267,08 1
204 217,4 267,52 1
204,5 217,7 267,96 1
205 218 268,4 1
205,5 218,3 268,84 1
206 218,6 269,28 1
206,5 218,9 269,72 1
207 219,2 270,16 1
207,5 219,5 270,6 1
208 219,8 271,04 1
208,5 220,1 271,48 1
209 220,4 271,92 1
209,5 220,7 272,36 1
210 221 272,8 1
210,5 221,3 273,24 1
211 221,6 273,68 1
211,5 221,9 274,12 1
212 222,2 274,56 1
212,5 222,5 275 1
213 222,8 275,44 1
213,5 223,1 275,88 1
214 223,4 276,32 1
214,5 223,7 276,76 1
215 224 277,2 1
215,5 224,3 277,64 1
216 224,6 278,08 1
216,5 224,9 278,52 1
217 225,2 278,96 1
217,5 225,5 279,4 1
218 225,8 279,84 1
218,5 226,1 280,28 1
219 226,4 280,72 1
219,5 226,7 281,16 1
220 227 281,6 1
220,5 227,3 282,04 1
221 227,6 282,48 1
221,5 227,9 282,92 1
222 228,2 283,36 1
222,5 228,5 283,8 1
223 228,8 284,24 1
223,5 229,1 284,68 1
224 229,4 285,12 1
224,5 229,7 285,56 1
225 230 286 1
225,5 230,3 286,44 1
226 230,6 286,88 1
226,5 230,9 287,32 1
227 231,2 287,76 1
227,5 231,5 288,2 1
228 231,8 288,64 1
228,5 232,1 289,08 1
229 232,4 289,52 1
229,5 232,7 289,96 1
230 233 290,4 1
230,5 233,3 290,84 1
231 233,6 291,28 1
231,5 233,9 291,72 1
232 234,2 292,16 1
232,5 234,5 292,6 1
233 234,8 293,04 1
233,5 235,1 293,48 1
234 235,4 293,92 1
234,5 235,7 294,36 1
235 236 294,8 1
235,5 236,3 295,24 1
236 236,6 295,68 1
236,5 236,9 296,12 1
237 237,2 296,56 1
237,5 237,5 297 1
238 237,8 297,44 1
238,5 238,1 297,88 1
239 238,4 298,32 1
239,5 238,7 298,76 1
240 239 299,2 1
240,5 239,3 299,64 1
241 239,6 300,08 1
241,5 239,9 300,52 1
242 240,2 300,96 1
242,5 240,5 301,4 1
243 240,8 301,84 1
243,5 241,1 302,28 1
244 241,4 302,72 1
244,5 241,7 303,16 1
245 242 303,6 1
245,5 242,3 304,04 1
246 242,6 304,48 1
246,5 242,9 304,92 1
247 243,2 305,36 1
247,5 243,5 305,8 1
248 243,8 306,24 1
248,5 244,1 306,68 1
249 244,4 307,12 1
249,5 244,7 307,56 1
250 245 308 1
250,5 245,3 308,44 1
251 245,6 308,88 1
251,5 245,9 309,32 1
252 246,2 309,76 1
252,5 246,5 310,2 1
253 246,8 310,64 1
253,5 247,1 311,08 1
254 247,4 311,52 1
254,5 247,7 311,96 1
255 248 312,4 1
255,5 248,3 312,84 1
256 248,6 313,28 1
256,5 248,9 313,72 1
257 249,2 314,16 1
257,5 249,5 314,6 1
258 249,8 315,04 1
258,5 250,1 315,48 1
259 250,4 315,92 1
259,5 250,7 316,36 1
260 251 316,8 1
260,5 251,3 317,24 1
261 251,6 317,68 1
261,5 251,9 318,12 1
262 252,2 318,56 1
262,5 252,5 319 1
263 252,8 319,44 1
263,5 253,1 319,88 1
264 253,4 320,32 1
264,5 253,7 320,76 1
265 254 321,2 1
265,5 254,3 321,64 1
266 254,6 322,08 1
266,5 254,9 322,52 1
267 255,2 322,96 1
267,5 255,5 323,4 1
268 255,8 323,84 1
268,5 256,1 324,28 1
269 256,4 324,72 1
269,5 256,7 325,16 1
270 257 325,6 1
270,5 257,3 326,04 1
271 257,6 326,48 1
271,5 257,9 326,92 1
272 258,2 327,36 1
272,5 258,5 327,8 1
273 258,8 328,24 1
273,5 259,1 328,68 1
274 259,4 329,12 1
274,5 259,7 329,56 1
