1 0,001 0
29,3 0,284 0
29,4 0,285 0
29,5 0,286 0
29,6 0,287 0
29,7 0,288 0
29,8 0,289 0
29,9 0,29 0
30 0,291 0
30,1 0,292 0
30,2 0,293 0
30,3 0,294 0
30,4 0,295 0
30,5 0,296 0
30,6 0,297 0
30,7 0,298 0
30,8 0,299 0
30,9 0,3 0
31 0,301 0
31,1 0,302 0
31,2 0,303 0
31,3 0,304 0
31,4 0,305 0
31,5 0,306 0
31,6 0,307 0
31,7 0,308 0
31,8 0,309 0
31,9 0,31 0
32 0,311 0
32,1 0,312 0
32,2 0,313 0
32,3 0,314 0
32,4 0,315 0
32,5 0,316 0
32,6 0,317 0
32,7 0,318 0
32,8 0,319 0
32,9 0,32 0
33 0,321 0
33,1 0,322 0
33,2 0,323 0
33,3 0,324 0
33,4 0,325 0
33,5 0,326 0
33,6 0,327 0
33,7 0,328 0
33,8 0,329 0
33,9 0,33 0
34 0,331 0
34,1 0,332 0
34,2 0,333 0
34,3 0,334 0
34,4 0,335 0
34,5 0,336 0
34,6 0,337 0
34,7 0,338 0
34,8 0,339 0
34,9 0,34 0
35 0,341 0
35,1 0,342 0
35,2 0,343 0
35,3 0,344 0
35,4 0,345 0
35,5 0,346 0
35,6 0,347 0
35,7 0,348 0
35,8 0,349 0
35,9 0,35 0
36 0,351 0
36,1 0,352 0
36,2 0,353 0
36,3 0,354 0
36,4 0,355 0
36,5 0,356 0
36,6 0,357 0
36,7 0,358 0
36,8 0,359 0
36,9 0,36 0
37 0,361 0
37,1 0,362 0
37,2 0,363 0
37,3 0,364 0
37,4 0,365 0
37,5 0,366 0
37,6 0,367 0
37,7 0,368 0
37,8 0,369 0
37,9 0,37 0
38 0,371 0
38,1 0,372 0
38,2 0,373 0
38,3 0,374 0
38,4 0,375 0
38,5 0,376 0
38,6 0,377 0
38,7 0,378 0
38,8 0,379 0
38,9 0,38 0
39 0,381 0
39,1 0,382 0
39,2 0,383 0
39,3 0,384 0
39,4 0,385 0
39,5 0,386 0
39,6 0,387 0
39,7 0,388 0
39,8 0,389 0
39,9 0,39 0
40 0,391 0
40,1 0,392 0
40,2 0,393 0
40,3 0,394 0
40,4 0,395 0
40,5 0,396 0
40,6 0,397 0
40,7 0,398 0
40,8 0,399 0
40,9 0,4 0
50 1 1
50,1 1,001 1
50,2 1,002 1
50,3 1,003 1
50,4 1,004 1
50,5 1,005 1
50,6 1,006 1
50,7 1,007 1
50,8 1,008 1
50,9 1,009 1
51 1,01 1
51,1 1,011 1
51,2 1,012 1
51,3 1,013 1
51,4 1,014 1
51,5 1,015 1
51,6 1,016 1
51,7 1,017 1
51,8 1,018 1
51,9 1,019 1
52 1,02 1
52,1 1,021 1
52,2 1,022 1
52,3 1,023 1
52,4 1,024 1
52,5 1,025 1
52,6 1,026 1
52,7 1,027 1
52,8 1,028 1
52,9 1,029 1
53 1,03 1
53,1 1,031 1
53,2 1,032 1
53,3 1,033 1
53,4 1,034 1
53,5 1,035 1
53,6 1,036 1
53,7 1,037 1
53,8 1,038 1
53,9 1,039 1
54 1,04 1
54,1 1,041 1
54,2 1,042 1
54,3 1,043 1
54,4 1,044 1
54,5 1,045 1
54,6 1,046 1
54,7 1,047 1
54,8 1,048 1
54,9 1,049 1
55 1,05 1
55,1 1,051 1
55,2 1,052 1
55,3 1,053 1
55,4 1,054 1
55,5 1,055 1
55,6 1,056 1
55,7 1,057 1
55,8 1,058 1
55,9 1,059 1
56 1,06 1
56,1 1,061 1
56,2 1,062 1
56,3 1,063 1
56,4 1,064 1
56,5 1,065 1
56,6 1,066 1
56,7 1,067 1
56,8 1,068 1
56,9 1,069 1
57 1,07 1
57,1 1,071 1
57,2 1,072 1
57,3 1,073 1
57,4 1,074 1
57,5 1,075 1
57,6 1,076 1
57,7 1,077 1
57,8 1,078 1
57,9 1,079 1
58 1,08 1
58,1 1,081 1
58,2 1,082 1
58,3 1,083 1
58,4 1,084 1
58,5 1,085 1
58,6 1,086 1
58,7 1,087 1
58,8 1,088 1
58,9 1,089 1
59 1,09 1
59,1 1,091 1
59,2 1,092 1
59,3 1,093 1
59,4 1,094 1
